current_views,current_comments,current_likes,prev_5_video_views,prev_5_video_likes,prev_5_video_comments,views_after_30_days,days_since_prev_5_uploads
185452,1981,21060,"[346391, 338871, 293707, 296128, 349424]","[40201, 12370, 35167, 17535, 32258]","[6688, 5817, 6594, 4410, 2848]",380660,"[9, 6, 5, 5, 3]"
159413,3753,8614,"[96979, 245698, 129544, 487286, 88187]","[9761, 5012, 5147, 33924, 7983]","[1660, 2234, 3659, 6440, 2178]",509843,"[9, 8, 8, 6, 4]"
298149,6046,31864,"[464779, 387034, 14227, 227075, 352029]","[46183, 24602, 537, 6344, 20753]","[6847, 4160, 147, 3403, 5369]",327982,"[10, 10, 9, 3, 2]"
208336,2067,5280,"[242187, 119001, 1037, 114733, 77052]","[6406, 7033, 49, 8926, 5569]","[4123, 1530, 8, 2703, 2080]",578980,"[9, 9, 8, 4, 3]"
393372,9767,43741,"[271128, 459968, 286311, 488452, 70611]","[6903, 38234, 15771, 47326, 7508]","[3828, 8343, 2271, 7533, 989]",582798,"[8, 8, 8, 5, 3]"
303353,1880,9323,"[209221, 325002, 350469, 149732, 362029]","[19020, 32021, 9989, 11720, 36968]","[5552, 1857, 9980, 910, 7371]",901879,"[10, 10, 9, 8, 4]"
186942,2412,18542,"[116784, 334794, 244675, 164836, 406705]","[8575, 39377, 28926, 4913, 30020]","[2969, 3663, 5814, 4444, 8769]",312143,"[9, 8, 7, 6, 4]"
280875,7828,12777,"[133455, 279295, 479307, 3312, 96481]","[12408, 18210, 24538, 349, 7407]","[3380, 4802, 11430, 88, 1426]",768046,"[8, 7, 6, 6, 5]"
469017,5055,45113,"[155555, 269830, 401222, 434742, 177642]","[13164, 10209, 46890, 24085, 9402]","[2213, 1967, 8274, 4767, 4455]",1602828,"[9, 9, 6, 5, 2]"
194862,1056,13683,"[30932, 473690, 100958, 172082, 407943]","[2852, 30077, 8606, 6967, 27351]","[912, 4681, 2111, 3336, 7802]",634322,"[8, 8, 7, 5, 4]"
396596,11084,10335,"[320614, 134028, 410306, 290536, 280384]","[35624, 9400, 19272, 17142, 17844]","[6973, 807, 6046, 6148, 3387]",583174,"[10, 9, 8, 4, 4]"
2008,43,191,"[429229, 482659, 287304, 3139, 87356]","[47964, 52866, 31855, 294, 2681]","[6847, 3998, 8530, 41, 1715]",4400,"[9, 8, 4, 4, 3]"
176898,5194,4168,"[230098, 444478, 204938, 190876, 49498]","[11735, 50245, 9889, 9323, 2149]","[1989, 6267, 4513, 4495, 1254]",191954,"[10, 10, 9, 8, 2]"
267275,1648,9403,"[462398, 116465, 340106, 16430, 376120]","[18076, 10024, 15061, 1871, 7932]","[2378, 2052, 5850, 149, 6530]",633003,"[9, 8, 4, 3, 3]"
